,Shifters ,,EUDAQ,Scope 1,Scope 2,,#Events,,Av.,SPS values,,,,T: DUT1 (left),T: DUT2 (right),Humidity: DUT2 (right),Disk space available above 5%?,FE-i4,Good Run?,Angle,Scope 1 Channel 1,,,,Scope 1 Channel 2,,,,,Scope 1 Channel 3,,,,,Scope 1 Channel 4,,,,,,Scope 2 Channel 1,,,,Scope 2 Channel 2,,,,,Scope 2 Channel 3,,,,,Scope 2 Channel 4,,,,,Events synced,Run log comments,Commentaires++,,,Data saved on eos,Telescope ntuples
Date,NO COMMAS ANYWHERE PLEASE :),Time,RunNumber,Timestamp,Timestamp,Batch,This run (triggers field-not event builder),Total,Rate [Hz],Intensity T4,Colimators,Count on triggers,Trigger,T [C] temp A,T [C] temp B,Humidity [%] green-right,Y/N,Mask,G/B/U,Angle [degree],DUT Pos.,Sensor,V[V],I [A],DUT Pos.,Sensor,V[V],V_real [V],I [A],DUT Pos.,Sensor,V[V],V_real [V],I [A],DUT Pos.,Sensor,V[V],V_real [V],I[A],,DUT Pos.,Sensor,V[V],I[A],DUT Pos.,Sensor,V[V],V_real [V],I [A],DUT Pos.,Sensor,V[V],V_real [V],I [A],DUT Pos.,Sensor,V[V],V_real [V],I [A],,Run log comments NO COMMAS PLEASE !,Commentaires++,Scope 1 on eos,Scope 2 on eos,Telescope on eos,Telescope ntuples
May/26/2023,Khuram - Marcello Pozzessere,9:33,9577,1685176686,1685176684,199,267839,#REF!,323,,,,,-31,-31.5,0.7,,10-70;40-300,G,,5,MCP,2600,7.27E+01,1,IMEv3-W12-C2-2-2,-80,-80,3.80E-06,1,IMEv3-W12-C2-2-2,-80,-80,3.80E-06,1,IMEv3-W12-C3-1-4,-80,-80,3.80E-06,,5,MCP,2600,7.27E+01,3,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-80,-80,3.60E-06,,,MCP test runs,,,,
May/26/2023,Khuram - Marcello Pozzessere,10:22,9578,1685178718,1685178726,199,327359,,347,,,,,-31,-31.5,0.7,,10-70;40-300,G,,5,MCP,2500,6.91E+01,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C3-1-4,-80,-80,3.60E-06,,5,MCP,2500,6.91E+01,3,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-80,-80,3.60E-06,MCP changed to MCP-1499 (previous MCP-1799),,,,,,
May/26/2023,Khuram - Marcello Pozzessere,11:34,9579,1685182661,1685182666,199,302559,,340,,,,,-31,-31.4,0.6,,10-70;40-300,G,,5,MCP,2500,6.90E+01,1,IMEv3-W12-C2-2-2,-80,-80,3.70E-06,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C3-1-4,-80,-80,3.60E-06,,5,MCP,2500,6.90E+01,3,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-80,-80,3.70E-06,MCP rotated by 180 degree and no splitte MCP connected to scope2 only,,,,,,
May/26/2023,Khuram - Marcello Pozzessere,12:41,9580,1685183647,1685183650,199,178559,,269,,,,,-31.1,-31.5,1.4,,10-70;40-300,G,,5,MCP,2500,6.91E+01,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C3-1-4,-80,-80,3.60E-06,,5,MCP,2500,6.91E+01,3,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-80,-80,3.60E-06,MCP rotated by 180 degree and no splitte MCP connected to scope2 only,,,,,,
May/26/2023,Khuram - Marcello Pozzessere,12:01,9581,1685184468,1685184471,199,312479,,337,,,,,-31,-31,1.5,,10-70;40-300,G,,5,MCP,2500,6.91E+01,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C3-1-4,-80,-80,3.60E-06,,5,MCP,2500,6.91E+01,3,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-80,-80,3.60E-06,MCP rotated by 180 degree and no splitte MCP connected to scope2 only,,,,,,
May/26/2023,Khuram - Marcello Pozzessere,13:09,9582,1685185635,1685185639,199,317439,,348,,,,,-31,-31,1.4,,10-70;40-300,G,,5,MCP,2500,6.91E+01,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C2-2-2,-80,-80,3.60E-06,1,IMEv3-W12-C3-1-4,-80,-80,3.60E-06,,5,MCP,2500,6.91E+01,3,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-80,-80,3.60E-06,MCP rotated by 180 degree and no splitte MCP connected to scope2 only,,,,,,
May/26/2023,Stefano Xiao,18:36,9564,1685118963,1685118965,100,347199,347199,,,,,,-32,-32,2.1,,10-70;40-300,G,0,5,MCP,2500,6.90E-05,1,IMEv3-W12-C2-2-2,-70,-70,3.00E-06,1,IMEv3-W12-C2-2-2,-70,-70,3.00E-06,1,IMEv3-W12-C3-1-4,-70,-70,3.00E-06,,5,MCP,2500,6.90E-05,4,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-70,-70,3.00E-06,,,,,,y,
May/26/2023,Nikolay Aleksandr,19:09,9565,1685120984,1685120994,100,322404,669603,,,,,,-33,-33,2.2,,10-70;40-300,G,0,5,MCP,2500,6.90E-05,1,IMEv3-W12-C2-2-2,-70,-70,3.00E-06,1,IMEv3-W12-C2-2-2,-70,-70,3.00E-06,1,IMEv3-W12-C3-1-4,-70,-70,3.00E-06,,5,MCP,2500,6.90E-05,4,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-70,-70,3.00E-06,,,,,,y,
May/26/2023,Nikolay Aleksandr,19:39,9567,1685122803,1685122805,100,307519,977122,,,,,,-33,-33,2.1,,10-70;40-300,G,0,5,MCP,2500,6.90E-05,1,IMEv3-W12-C2-2-2,-70,-70,3.00E-06,1,IMEv3-W12-C2-2-2,-70,-70,3.00E-06,1,IMEv3-W12-C3-1-4,-70,-70,3.00E-06,,5,MCP,2500,6.90E-05,4,CNM-R15973-W5-D138,-80,-80,1.00E-10,2,CNM-R15973-W4-D168,-80,-80,5.00E-10,1,IMEv3-W12-C3-1-5,-70,-70,3.00E-06,,,,,,y,
